City Name,Country,State,Status
Virudhachalam,India,Tamil Nadu,active
Bodhan Mandal,India,Telangana,active
Neyveli,India,Tamil Nadu,active
Narasapuram,India,Andhra Pradesh,active
Thingal Nagar,India,Tamil Nadu,active
Waluj,India,Maharashtra,active
Anchal,India,Kerala,active
Karkala,India,Karnataka,active
Parippally,India,Kerala,active
Kanakpura,India,Karnataka,active
Alleppey,India,Kerala,active
Khamgaon,India,Maharashtra,active
Kumta,India,Karnataka,active
Mandapeta,India,Andhra Pradesh,active
Gangavathi,India,Karnataka,active
Palladam,India,Tamil Nadu,active
Sathupally,India,Telangana,active
Kumbakonam,India,Tamil Nadu,active
Una,India,Gujarat,active
Sangamner,India,Maharashtra,active
Mulanthuruthy,India,Kerala,active
Metpalle,India,Telangana,active
Pandharpur,India,Maharashtra,active
Paratwada,India,Maharashtra,active
Jangareddygudem,India,Andhra Pradesh,active
Harur,India,Tamil Nadu,active
Peddapuram,India,Andhra Pradesh,active
Sriperumbudur,India,Tamil Nadu,active
Kottiyam,India,Kerala,active
Zaheerabad,India,Telangana,active
Trivandrum,India,Kerala,active
Malur,India,Karnataka,active
Piduguralla,India,Andhra Pradesh,active
Bobbili,India,Andhra Pradesh,active
Vinukonda,India,Andhra Pradesh,active
Gudur,India,Andhra Pradesh,active
Koyilandy,India,Kerala,active
Pusad,India,Maharashtra,active
Sagara,India,Karnataka,active
Chikodi,India,Karnataka,active
Melur,India,Tamil Nadu,active
Madhira,India,Telangana,active
Kuppam,India,Andhra Pradesh,active
Sholingur,India,Tamil Nadu,active
Malikipuram,India,Andhra Pradesh,active
Musiri,India,Tamil Nadu,active
Channapatna,India,Karnataka,active
Hanuman Junction,India,Andhra Pradesh,active
Vadanapally,India,Kerala,active
Chingavanam,India,Kerala,active
Mulbagal,India,Karnataka,active
Kopargaon,India,Maharashtra,active
Channarayapatna,India,Karnataka,active
Kotagiri,India,Tamil Nadu,active
Kanchipuram,India,Tamil Nadu,active
Sathyamangalam,India,Tamil Nadu,active
Chirala,India,Andhra Pradesh,active
Thirukoilur,India,Tamil Nadu,active
Periyanaickenpalayam,India,Tamil Nadu,active
Gokak,India,Karnataka,active
Paravur,India,Kerala,active
Karanja Lad,India,Maharashtra,active
Mahbubnagar,India,Telangana,active
Badvel,India,Andhra Pradesh,active
Shankarpally,India,Telangana,active
Chalisgaon,India,Maharashtra,active
Narsipatnam Santhi Nagar,India,Andhra Pradesh,active
Bailhongal,India,Karnataka,active
Gobichettipalayam,India,Tamil Nadu,active
Warud,India,Maharashtra,active
Pavagada,India,Karnataka,active
Sira,India,Karnataka,active
Wadi,India,Maharashtra,active
Shirdi,India,Maharashtra,active
Palamaner,India,Andhra Pradesh,active
Vyara,India,Gujarat,active
Arsikere,India,Karnataka,active
